,Course Name,University,Aptitude Score,Previous Score,Extracurricular activity,Course rating,Education_Num,Income_Level_Num,Difficulty_level_Num
709,Perform Feature Analysis with Yellowbrick,Coursera Project Network,85.0,66.0,No,4.8,86.0,90.0,57.0
710,Network Data Science with NetworkX and Python,Coursera Project Network,74.0,66.0,No,4.5,90.0,81.0,60.0
711,Style Tables with CSS,Coursera Project Network,67.0,66.0,No,4.8,75.0,63.0,60.0
712,Building Recommendation System Using MXNET on AWS Sagemaker,Coursera Project Network,71.0,64.0,Yes,4.5,89.0,59.0,83.0
713,Create a Simple Project Timeline in Google Sheets,Coursera Project Network,57.0,66.0,No,4.6,72.0,84.0,61.0
714,Serving Tensorflow Models with a REST API,Coursera Project Network,99.0,62.0,No,4.3,73.0,77.0,59.0
715,Build an App in Android Studio using Activities,Coursera Project Network,97.0,66.0,Yes,4.4,78.0,70.0,57.0
716,TensorFlow Serving with Docker for Model Deployment,Coursera Project Network,50.0,67.0,No,4.9,76.0,79.0,88.0
717,Create Python Linux Script to Generate a Disk Usage Report,Coursera Project Network,95.0,73.0,Yes,4.4,56.0,80.0,59.0
718,Create Training Videos with Powtoon,Coursera Project Network,86.0,70.0,No,4.5,60.0,62.0,57.0
719,Simple Nearest Neighbors Regression and Classification,Coursera Project Network,95.0,70.0,Yes,5.0,73.0,63.0,58.0
720,Create Your First Web App with Python and Flask,Coursera Project Network,93.0,73.0,Yes,4.5,80.0,55.0,60.0
721,Profit Analysis using Economic Value Added,Coursera Project Network,59.0,60.0,No,4.7,60.0,63.0,67.0
722,Predict Future Product Prices Using Facebook Prophet,Coursera Project Network,55.0,62.0,No,4.4,91.0,71.0,57.0
723,Automate an e-commerce web application using Selenium & Java,Coursera Project Network,85.0,74.0,Yes,4.7,70.0,84.0,57.0
724,Build a film club web app on Google AppEngine,Coursera Project Network,81.0,70.0,No,4.6,78.0,79.0,58.0
725,Learn Java and JavaFX by creating a Graphical Calculator,Coursera Project Network,100.0,69.0,Yes,4.8,82.0,63.0,61.0
726,Create a Project Charter with Google Docs,Coursera Project Network,58.0,72.0,No,4.6,62.0,77.0,62.0
727,Python Dynamic HTML Web Server,Coursera Project Network,73.0,65.0,No,4.6,92.0,57.0,57.0
728,How To Build a Network Topology Using GNS3,Coursera Project Network,99.0,69.0,Yes,4.5,74.0,85.0,61.0
729,Product Development: Customer Persona Development with Miro,Coursera Project Network,64.0,61.0,Yes,4.9,79.0,58.0,58.0
730,Build a Budget and Analyze Variance using Google Sheets,Coursera Project Network,73.0,65.0,No,4.4,78.0,74.0,62.0
731,PyCaret: Anatomy of Classification,Coursera Project Network,74.0,71.0,No,4.0,77.0,55.0,95.0
732,Introduction to Docker : The Basics,Coursera Project Network,52.0,65.0,No,4.7,72.0,71.0,61.0
733,Create Customer Support Data with Google Sheets,Coursera Project Network,91.0,68.0,Yes,4.6,79.0,56.0,60.0
734,Starting GUI Programming with JavaFX,Coursera Project Network,96.0,73.0,Yes,4.7,57.0,86.0,59.0
735,Introduction to Relational Database and SQL,Coursera Project Network,65.0,64.0,No,4.5,63.0,59.0,57.0
736,Create Online Employee Onboarding Course with Eduflow,Coursera Project Network,59.0,62.0,No,4.7,61.0,58.0,59.0
737,TensorFlow for CNNs: Learn and Practice CNNs,Coursera Project Network,84.0,72.0,Yes,4.5,57.0,88.0,58.0
738,CRUD Operations using MongoDB NoSQL,Coursera Project Network,65.0,64.0,Yes,4.5,73.0,58.0,59.0
739,Custom Reports in Google Analytics,Coursera Project Network,63.0,64.0,Yes,4.7,60.0,82.0,58.0
740,Create Technical Stock Charts Using R and Quantmod,Coursera Project Network,61.0,70.0,No,4.6,80.0,55.0,61.0
741,Use Mailchimp to Build an E-mail Marketing Campaign,Coursera Project Network,94.0,73.0,No,4.5,56.0,79.0,58.0
742,Retrieve Data with Multiple-Table SQL Queries,Coursera Project Network,78.0,69.0,No,4.7,70.0,80.0,60.0
743,Beginning SQL Server,Coursera Project Network,59.0,66.0,Yes,4.5,62.0,75.0,62.0
744,Create a Space Shooter Game with Scratch Studio,Coursera Project Network,98.0,71.0,No,4.8,76.0,59.0,62.0
745,Build a Firebase Android Application (Part II),Coursera Project Network,75.0,65.0,No,4.5,75.0,62.0,96.0
746,Create a Google Ads Display Campaign,Coursera Project Network,58.0,65.0,No,4.8,55.0,55.0,57.0
747,Agile Projects: Defining Epics and Mapping Value with Taiga,Coursera Project Network,97.0,70.0,Yes,5.0,73.0,73.0,57.0
748,AWS: Publish a NodeJS Website from Scratch,Coursera Project Network,56.0,66.0,Yes,4.4,56.0,80.0,58.0
749,Create a Profile and Network on LinkedIn,Coursera Project Network,94.0,68.0,No,4.7,78.0,78.0,57.0
750,Creating an AWS EC2 Autoscaling Group using Load Balancer,Coursera Project Network,71.0,67.0,No,4.7,79.0,88.0,58.0
751,Image Compression with K-Means Clustering,Coursera Project Network,90.0,71.0,No,4.6,62.0,59.0,60.0
752,Neural Network from Scratch in TensorFlow,Coursera Project Network,85.0,70.0,Yes,4.4,57.0,86.0,58.0
753,Image Data Augmentation with Keras,Coursera Project Network,87.0,67.0,No,4.6,55.0,80.0,61.0
754,Blazor and JavaScript Interoperability,Coursera Project Network,54.0,60.0,No,4.5,78.0,57.0,97.0
755,Database Design with SQL Server Management Studio (SSMS),Coursera Project Network,94.0,62.0,No,4.5,79.0,58.0,58.0
756,Intermediate Object-Oriented Programming with Java,Coursera Project Network,54.0,66.0,Yes,4.6,56.0,77.0,58.0
757,Big-O Time Complexity in Python Code,Coursera Project Network,91.0,74.0,Yes,4.5,77.0,90.0,61.0
758,Fake News Detection with Machine Learning,Coursera Project Network,52.0,69.0,No,4.5,77.0,72.0,60.0
759,Introduction to CRM with HubSpot,Coursera Project Network,88.0,68.0,Yes,4.7,62.0,73.0,57.0
760,Analyzing Macro-Environmental Factors Using Creately,Coursera Project Network,81.0,71.0,No,4.8,57.0,60.0,93.0
761,JavaScript Arithmetic Operators,Coursera Project Network,92.0,71.0,No,4.5,93.0,57.0,94.0
762,Getting Started in GIMP,Coursera Project Network,60.0,63.0,Yes,4.7,86.0,60.0,58.0
763,HTML and CSS: Building a Single-Page Website,Coursera Project Network,52.0,58.0,Yes,4.5,73.0,56.0,59.0
764,Style Images with CSS,Coursera Project Network,96.0,70.0,Yes,4.8,61.0,63.0,58.0
765,Build a Google Firebase Web Application,Coursera Project Network,70.0,63.0,Yes,4.5,55.0,71.0,62.0
766,Analyze NPS Survey Data in Google Sheets,Coursera Project Network,66.0,74.0,Yes,4.5,55.0,73.0,94.0
767,Evaluate Profit Margins with VLOOKUP in Google Sheets,Coursera Project Network,68.0,73.0,Yes,4.5,59.0,84.0,59.0
768,Support Vector Machines with scikit-learn,Coursera Project Network,86.0,66.0,No,4.3,62.0,70.0,62.0
769,Visualizing Citibike Trips with Tableau,Coursera Project Network,75.0,62.0,Yes,4.6,76.0,83.0,58.0
770,Cluster Analysis using RCmdr,Coursera Project Network,76.0,60.0,Yes,5.0,73.0,79.0,62.0
771,Understanding Deepfakes with Keras,Coursera Project Network,91.0,75.0,Yes,4.4,75.0,90.0,57.0
772,Google Ads for Beginners,Coursera Project Network,96.0,65.0,Yes,4.5,56.0,75.0,58.0
773,Mining Data to Extract and Visualize Insights in Python,Coursera Project Network,66.0,73.0,Yes,4.2,73.0,72.0,59.0
774,Exploring Beethovenï¿½s Piano Sonatas,Curtis Institute of Music,97.0,78.0,Yes,4.8,79.0,78.0,54.0
775,Exploring Beethoven's Piano Sonatas Part 4,Curtis Institute of Music,93.0,63.0,No,4.9,61.0,78.0,60.0
776,Exploring Beethovenï¿½s Piano Sonatas Part 2,Curtis Institute of Music,76.0,64.0,No,5.0,77.0,58.0,60.0
777,Exploring Beethoven's Piano Sonatas Part 6,Curtis Institute of Music,69.0,71.0,Yes,5.0,75.0,60.0,75.0
778,The World of the String Quartet,Curtis Institute of Music,87.0,73.0,No,4.7,63.0,72.0,53.0
779,Exploring Beethoven's Piano Sonatas Part 5,Curtis Institute of Music,58.0,68.0,Yes,4.9,60.0,56.0,97.0
780,Device-based Models with TensorFlow Lite,DeepLearning.AI,52.0,68.0,No,4.6,74.0,55.0,57.0
781,Natural Language Processing with Probabilistic Models,DeepLearning.AI,55.0,68.0,Yes,4.7,92.0,83.0,58.0
782,"Sequences, Time Series and Prediction",DeepLearning.AI,88.0,65.0,No,4.4,72.0,55.0,57.0
783,Convolutional Neural Networks in TensorFlow,DeepLearning.AI,97.0,68.0,No,4.6,80.0,63.0,57.0
784,Structuring Machine Learning Projects,DeepLearning.AI,52.0,62.0,Yes,4.8,73.0,90.0,58.0
785,Sequence Models,DeepLearning.AI,67.0,66.0,No,4.8,62.0,75.0,81.0
786,Neural Networks and Deep Learning,DeepLearning.AI,72.0,62.0,Yes,4.9,73.0,91.0,60.0
787,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI,66.0,65.0,Yes,4.9,73.0,70.0,60.0
788,Build Better Generative Adversarial Networks (GANs),DeepLearning.AI,51.0,64.0,No,4.4,62.0,77.0,84.0
789,Natural Language Processing with Attention Models,DeepLearning.AI,66.0,67.0,Yes,3.4,85.0,59.0,57.0
790,AI for Medical Prognosis,DeepLearning.AI,50.0,63.0,Yes,4.7,70.0,57.0,62.0
791,Natural Language Processing with Sequence Models,DeepLearning.AI,98.0,69.0,No,4.1,89.0,62.0,60.0
792,Apply Generative Adversarial Networks (GANs),DeepLearning.AI,52.0,66.0,No,4.0,78.0,59.0,67.0
793,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,66.0,68.0,No,4.6,76.0,61.0,59.0
794,AI for Medical Diagnosis,DeepLearning.AI,54.0,65.0,Yes,4.5,89.0,93.0,59.0
795,Build Basic Generative Adversarial Networks (GANs),DeepLearning.AI,80.0,68.0,Yes,4.6,88.0,75.0,57.0
796,AI For Medical Treatment,DeepLearning.AI,84.0,71.0,Yes,4.6,71.0,83.0,59.0
797,Natural Language Processing in TensorFlow,DeepLearning.AI,67.0,64.0,Yes,4.5,61.0,56.0,60.0
798,AI For Everyone,DeepLearning.AI,84.0,70.0,No,4.8,75.0,60.0,79.0
799,Convolutional Neural Networks,DeepLearning.AI,87.0,67.0,No,4.8,74.0,71.0,57.0
800,Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,91.0,71.0,Yes,4.4,71.0,86.0,59.0
801,Browser-based Models with TensorFlow.js,DeepLearning.AI,83.0,72.0,Yes,4.7,55.0,80.0,74.0
802,Advanced Deployment Scenarios with TensorFlow,DeepLearning.AI,94.0,73.0,Yes,4.6,74.0,76.0,58.0
803,ART of the MOOC: Public Art and Pedagogy,Duke University,90.0,68.0,Yes,4.6,86.0,79.0,56.0
804,Managing Big Data with MySQL,Duke University,94.0,70.0,Yes,4.6,63.0,60.0,62.0
805,Renewable Energy and Green Building Entrepreneurship,Duke University,81.0,67.0,Yes,4.7,85.0,62.0,67.0
806,Data Science Math Skills,Duke University,86.0,63.0,No,4.4,71.0,62.0,85.0
807,Startup Valuation Methods,Duke University,63.0,72.0,Yes,4.3,91.0,92.0,70.0
808,Introduction to Probability and Data with R,Duke University,77.0,70.0,No,4.6,70.0,62.0,88.0
809,Introduction to Machine Learning,Duke University,71.0,68.0,Yes,4.6,72.0,75.0,57.0
810,Data Visualization and Communication with Tableau,Duke University,72.0,67.0,No,4.6,72.0,70.0,62.0
811,Blockchain Business Models,Duke University,81.0,69.0,No,4.7,80.0,78.0,61.0
812,Copyright for Educators & Librarians,Duke University,67.0,62.0,No,4.8,70.0,59.0,62.0
813,Civic Engagement in American Democracy,Duke University,76.0,65.0,Yes,4.8,84.0,60.0,67.0
814,Dog Emotion and Cognition,Duke University,85.0,70.0,Yes,4.5,77.0,80.0,59.0
815,"Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases",Duke University,92.0,64.0,Yes,4.6,60.0,75.0,72.0
816,Electric Industry Operations and Markets,Duke University,71.0,67.0,No,4.7,73.0,74.0,57.0
817,Introduction to Programming and Animation with Alice,Duke University,87.0,64.0,Yes,4.4,90.0,71.0,93.0
818,Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,Duke University,87.0,65.0,No,4.6,75.0,74.0,67.0
819,Behavioral Finance,Duke University,51.0,69.0,No,4.2,86.0,55.0,68.0
820,Nanotechnology: A Makerï¿½s Course,Duke University,98.0,61.0,Yes,4.8,72.0,76.0,60.0
821,Java Programming: Build a Recommendation System,Duke University,79.0,68.0,Yes,4.7,88.0,83.0,61.0
822,Business Metrics for Data-Driven Companies,Duke University,52.0,63.0,No,4.5,76.0,78.0,58.0
823,Financial Risk Management with R,Duke University,50.0,66.0,Yes,4.2,78.0,91.0,62.0
824,Bayesian Statistics,Duke University,100.0,67.0,Yes,3.2,74.0,71.0,71.0
825,Interacting with the System and Managing Memory,Duke University,71.0,72.0,No,4.0,60.0,60.0,94.0
826,Sports and Society,Duke University,88.0,67.0,Yes,4.8,73.0,76.0,61.0
827,Medical Neuroscience,Duke University,97.0,66.0,Yes,4.9,75.0,71.0,67.0
828,Introduction to Genetics and Evolution,Duke University,58.0,63.0,No,4.8,75.0,72.0,71.0
829,Think Again I: How to Understand Arguments,Duke University,89.0,73.0,Yes,4.6,92.0,75.0,69.0
830,The Brain and Space,Duke University,62.0,70.0,No,4.8,78.0,55.0,72.0
831,Think Again II: How to Reason Deductively,Duke University,65.0,62.0,Yes,4.3,76.0,71.0,67.0
832,English Composition I,Duke University,74.0,69.0,Yes,4.2,60.0,73.0,92.0
833,Chimpanzee Behavior and Conservation,Duke University,86.0,67.0,Yes,4.9,92.0,77.0,70.0
834,Introduction to Chemistry: Structures and Solutions,Duke University,94.0,68.0,Yes,4.7,81.0,77.0,61.0
835,Copyright for Multimedia,Duke University,98.0,65.0,No,4.7,79.0,70.0,57.0
836,Mastering Data Analysis in Excel,Duke University,52.0,65.0,Yes,4.1,56.0,61.0,61.0
837,Java Programming: Principles of Software Design,Duke University,78.0,63.0,Yes,4.6,79.0,72.0,81.0
838,Java Programming: Solving Problems with Software,Duke University,51.0,68.0,Yes,4.4,76.0,57.0,82.0
839,Financing for Startup Businesses,Duke University,86.0,70.0,Yes,4.5,77.0,70.0,67.0
840,"Java Programming: Arrays, Lists, and Structured Data",Duke University,83.0,64.0,Yes,4.7,79.0,91.0,58.0
841,"Java Programming: Arrays, Lists, and Structured Data",Duke University,65.0,65.0,Yes,4.7,76.0,84.0,59.0
842,Think Again IV: How to Avoid Fallacies,Duke University,54.0,62.0,Yes,4.6,71.0,55.0,67.0
843,ART of the MOOC: Activism and Social Movements,Duke University,57.0,73.0,Yes,4.5,56.0,70.0,62.0
844,"Programming Foundations with JavaScript, HTML and CSS",Duke University,65.0,71.0,No,4.5,82.0,62.0,61.0
845,Statistics with R Capstone,Duke University,53.0,60.0,Yes,4.6,73.0,56.0,91.0
846,Introductory Human Physiology,Duke University,50.0,63.0,Yes,4.7,61.0,62.0,75.0
847,Introduction to Chemistry: Reactions and Ratios,Duke University,76.0,67.0,Yes,4.7,77.0,61.0,62.0
848,Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital,Duke University,86.0,74.0,No,4.7,61.0,80.0,62.0
849,Visual Perception and the Brain,Duke University,98.0,64.0,Yes,4.7,70.0,59.0,74.0
850,Advertising and Society,Duke University,74.0,67.0,No,4.7,72.0,75.0,88.0
851,Java Programming: Solving Problems with Software,Duke University,58.0,67.0,Yes,4.4,92.0,62.0,80.0
852,Think Again III: How to Reason Inductively,Duke University,78.0,69.0,Yes,4.8,76.0,62.0,67.0
853,Increasing Real Estate Management Profits: Harnessing Data Analytics,Duke University,93.0,68.0,Yes,4.7,62.0,63.0,92.0
854,The Challenges of Global Health,Duke University,87.0,71.0,Yes,4.8,70.0,76.0,62.0
855,Music as Biology: What We Like to Hear and Why,Duke University,72.0,66.0,No,4.3,59.0,85.0,62.0
856,Oil & Gas Industry Operations and Markets,Duke University,95.0,66.0,Yes,4.8,77.0,82.0,62.0
857,Inferential Statistics,Duke University,60.0,65.0,Yes,4.7,58.0,83.0,91.0
858,Mastering Web3 with Waves,E-Learning Development Fund,55.0,65.0,No,4.5,62.0,58.0,89.0
859,Advanced Portfolio Construction and Analysis with Python,EDHEC Business School,69.0,73.0,Yes,4.7,74.0,75.0,97.0
860,Python and Machine-Learning for Asset Management with Alternative Data Sets,EDHEC Business School,50.0,63.0,No,4.4,87.0,61.0,95.0
861,Python and Machine Learning for Asset Management,EDHEC Business School,64.0,66.0,Yes,2.6,60.0,58.0,95.0
862,Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,85.0,71.0,Yes,4.8,86.0,61.0,93.0
863,Global Financing Solutions (by EDHEC and Sociï¿½tï¿½ Gï¿½nï¿½rale),EDHEC Business School,80.0,65.0,Yes,4.6,71.0,58.0,89.0
864,Improving Your Statistical Questions,Eindhoven University of Technology,91.0,69.0,Yes,4.9,92.0,57.0,57.0
865,Sports and Building Aerodynamics,Eindhoven University of Technology,83.0,70.0,Yes,4.8,78.0,86.0,69.0
866,"Ethics, Technology and Engineering",Eindhoven University of Technology,75.0,69.0,Yes,4.5,82.0,79.0,92.0
867,Process Mining: Data science in Action,Eindhoven University of Technology,94.0,70.0,No,4.8,61.0,60.0,58.0
868,Improving your statistical inferences,Eindhoven University of Technology,60.0,64.0,No,4.8,78.0,57.0,59.0
869,Privacy in the USA,EIT Digital,96.0,67.0,Yes,4.6,56.0,57.0,94.0
870,Security and Privacy for Big Data - Part 1,EIT Digital,65.0,68.0,Yes,4.7,70.0,76.0,62.0
871,Marketing Strategy for Entrepreneurs,EIT Digital,86.0,66.0,Yes,4.2,85.0,85.0,96.0
872,Standardisation & Technology,EIT Digital,76.0,63.0,Yes,4.4,79.0,79.0,89.0
873,Business Implications of AI: A Nano-course,EIT Digital,90.0,67.0,Yes,4.6,84.0,75.0,83.0
874,Innovation & Entrepreneurship - From Design Thinking to Funding,EIT Digital,93.0,68.0,Yes,4.5,73.0,56.0,90.0
875,Security and Privacy for Big Data - Part 2,EIT Digital,59.0,70.0,No,4.6,74.0,57.0,71.0
876,I/O-efficient algorithms,EIT Digital,54.0,65.0,Yes,4.5,55.0,57.0,67.0
877,Impact from digital transformation: A Nano course,EIT Digital,97.0,72.0,Yes,4.5,70.0,87.0,85.0
878,Privacy in the Western World,EIT Digital,92.0,67.0,Yes,4.5,71.0,88.0,58.0
879,Cybersecurity Awareness and Innovation,EIT Digital,85.0,62.0,No,4.6,88.0,80.0,60.0
880,Geometric Algorithms,EIT Digital,69.0,67.0,No,4.3,83.0,61.0,97.0
881,Development of Real-Time Systems,EIT Digital,66.0,70.0,Yes,4.5,59.0,76.0,89.0
882,"System Validation (4): Modelling Software, Protocols, and other behaviour",EIT Digital,79.0,66.0,No,4.8,61.0,75.0,88.0
883,Introduction to Architecting Smart IoT Devices,EIT Digital,84.0,67.0,Yes,3.8,70.0,72.0,92.0
884,Privacy in Europe,EIT Digital,65.0,66.0,No,4.7,61.0,63.0,74.0
885,Quantitative Model Checking,EIT Digital,89.0,76.0,Yes,4.1,71.0,73.0,92.0
886,Automated Reasoning: satisfiability,EIT Digital,92.0,65.0,Yes,4.8,71.0,62.0,95.0
887,Privacy & Standardisation Capstone,EIT Digital,60.0,68.0,Yes,3.0,77.0,58.0,88.0
888,Software Architecture for the Internet of Things,EIT Digital,70.0,71.0,No,4.0,76.0,61.0,97.0
889,Architecting Smart IoT Devices,EIT Digital,63.0,73.0,No,4.1,76.0,79.0,95.0
890,Mastering Digital Twins,EIT Digital,71.0,70.0,Yes,3.7,62.0,55.0,62.0
891,Web of Data,EIT Digital,74.0,65.0,Yes,4.0,77.0,59.0,88.0
892,System Validation (2): Model process behaviour,EIT Digital,79.0,67.0,Yes,4.4,60.0,84.0,95.0
893,Foundations of mining non-structured medical data,EIT Digital,97.0,62.0,Yes,4.2,57.0,79.0,89.0
894,Impact from Digital Transformation: Full course,EIT Digital,51.0,67.0,No,4.5,81.0,60.0,60.0
895,Basic Recommender Systems,EIT Digital,81.0,61.0,Yes,4.5,75.0,73.0,58.0
896,Data Science for Business Innovation,EIT Digital,70.0,67.0,Yes,4.2,93.0,91.0,95.0
897,Automated Reasoning: Symbolic Model Checking,EIT Digital,87.0,63.0,No,4.3,78.0,78.0,95.0
898,System Validation (3): Requirements by modal formulas,EIT Digital,69.0,68.0,No,4.3,71.0,83.0,97.0
899,Business Implications of AI: Full course,EIT Digital,95.0,67.0,Yes,4.1,78.0,76.0,88.0
900,Approximation Algorithms,EIT Digital,51.0,65.0,Yes,4.5,58.0,58.0,74.0
901,Web Connectivity and Security in Embedded Systems,EIT Digital,64.0,66.0,No,4.5,79.0,71.0,95.0
902,The Impact of Technology,EIT Digital,85.0,72.0,No,4.6,71.0,59.0,91.0
903,Quantitative Formal Modeling and Worst-Case Performance Analysis,EIT Digital,68.0,63.0,No,4.3,57.0,89.0,95.0
904,Capstone Value Creation through Innovation,EIT Digital,58.0,64.0,No,1.9,59.0,73.0,96.0
905,Blockchain for the decision maker,EIT Digital,57.0,65.0,Yes,4.0,84.0,59.0,97.0
906,System Validation: Automata and behavioural equivalences,EIT Digital,53.0,67.0,Yes,4.1,79.0,72.0,93.0
907,Embedded Hardware and Operating Systems,EIT Digital,64.0,69.0,Yes,3.9,74.0,83.0,97.0
908,Innovation & Entrepreneurship - From Basics to Open Innovation,EIT Digital,62.0,73.0,Yes,4.5,61.0,62.0,92.0
909,Capstone: Autonomous Runway Detection for IoT,EIT Digital,53.0,65.0,No,4.5,71.0,60.0,96.0
910,Blockchain 360: A State of the Art for Professionals,EIT Digital,95.0,69.0,Yes,4.4,89.0,62.0,72.0
911,Marketing Analytics Capstone Project,Emory University,85.0,68.0,Yes,3.7,72.0,61.0,97.0
912,Journeys to Education Teach-Out,Emory University,56.0,71.0,No,4.5,85.0,75.0,58.0
913,Finance for Non-Financial Managers,Emory University,74.0,62.0,No,4.2,62.0,72.0,60.0
914,Biohacking Your Brain's Health,Emory University,92.0,70.0,Yes,4.7,92.0,70.0,59.0
915,Weight Management: Beyond Balancing Calories,Emory University,65.0,68.0,Yes,4.7,73.0,90.0,61.0
916,"The Bible's Prehistory, Purpose, and Political Future",Emory University,81.0,67.0,No,4.7,57.0,79.0,59.0
917,Qualitative Data Collection Methods,Emory University,78.0,67.0,No,4.8,80.0,56.0,58.0
918,Qualitative Research Design,Emory University,66.0,66.0,No,5.0,77.0,73.0,58.0
919,Conflict Transformation,Emory University,96.0,72.0,Yes,4.8,80.0,75.0,75.0
920,"""Making"" Progress Teach-Out",Emory University,68.0,68.0,Yes,4.2,61.0,79.0,59.0
921,The Psychology of Thrill Seekers,Emory University,67.0,66.0,No,4.5,58.0,77.0,69.0
922,Childbirth: A Global Perspective,Emory University,71.0,71.0,No,4.8,63.0,90.0,68.0
923,Ebola Virus Disease: An Evolving Epidemic,Emory University,79.0,71.0,No,4.7,77.0,61.0,67.0
924,Forecasting Models for Marketing Decisions,Emory University,99.0,71.0,No,4.2,56.0,86.0,72.0
925,Managing Uncertainty in Marketing Analytics,Emory University,97.0,70.0,Yes,4.3,73.0,93.0,94.0
926,Introduction to Social Media Analytics,Emory University,89.0,66.0,Yes,4.4,56.0,73.0,96.0
927,Survey analysis to Gain Marketing Insights,Emory University,75.0,69.0,No,4.5,63.0,62.0,69.0
928,Communicating During Global Emergencies,Emory University,73.0,63.0,No,4.6,72.0,56.0,58.0
929,Reproducible Templates for Analysis and Dissemination,Emory University,94.0,64.0,No,4.7,90.0,78.0,95.0
930,"Extinctions: Past, Present, & Future",Emory University,91.0,67.0,Yes,4.8,71.0,59.0,60.0
931,Understanding Violence,Emory University,59.0,66.0,Yes,4.6,56.0,61.0,59.0
932,Meaningful Marketing Insights,Emory University,86.0,67.0,No,4.1,76.0,84.0,60.0
933,Qualitative Data Analysis with MAXQDA Software,Emory University,53.0,68.0,Yes,5.0,55.0,56.0,70.0
934,Health in Complex Humanitarian Emergencies,Emory University,84.0,64.0,No,4.7,72.0,62.0,67.0
935,So You Think You Know Tango?,Emory University,83.0,64.0,Yes,4.5,72.0,62.0,69.0
936,From Freedom Rides to Ferguson: Narratives of Nonviolence in the American Civil Rights Movement,Emory University,54.0,70.0,Yes,4.8,59.0,92.0,58.0
937,When Disaster Meets Conflict,Erasmus University Rotterdam,94.0,68.0,No,4.8,79.0,73.0,61.0
938,Financing Infrastructure in African Cities,Erasmus University Rotterdam,62.0,64.0,Yes,4.7,79.0,75.0,62.0
939,Econometrics: Methods and Applications,Erasmus University Rotterdam,94.0,66.0,Yes,4.5,82.0,80.0,82.0
940,Local Economic Development,Erasmus University Rotterdam,79.0,63.0,No,4.8,62.0,59.0,70.0
941,Regulated Competition in Healthcare Systems: Theory & Practice,Erasmus University Rotterdam,83.0,69.0,Yes,4.7,63.0,71.0,60.0
942,Enjoyable Econometrics,Erasmus University Rotterdam,60.0,69.0,Yes,4.2,93.0,74.0,60.0
943,Assessment in Higher Education: Professional Development for Teachers,Erasmus University Rotterdam,58.0,65.0,Yes,4.8,90.0,76.0,92.0
944,Cybersecurity in Healthcare (Hospitals & Care Centres),Erasmus University Rotterdam,54.0,66.0,Yes,4.8,61.0,92.0,71.0
945,Serious Gaming,Erasmus University Rotterdam,53.0,70.0,Yes,4.4,58.0,57.0,88.0
946,International Security Management,Erasmus University Rotterdam,71.0,71.0,Yes,4.7,55.0,91.0,59.0
947,Qualitative Comparative Analysis (QCA),Erasmus University Rotterdam,93.0,70.0,Yes,4.8,76.0,61.0,62.0
948,Principles of Sustainable Finance,Erasmus University Rotterdam,74.0,65.0,Yes,4.7,82.0,70.0,57.0
949,A Business Approach to Sustainable Landscape Restoration,Erasmus University Rotterdam,63.0,70.0,No,4.7,81.0,60.0,59.0
950,Earth Economics,Erasmus University Rotterdam,86.0,68.0,Yes,4.4,90.0,74.0,62.0
951,Mind of the Universe: Science in Progress,Erasmus University Rotterdam,74.0,62.0,No,4.8,71.0,82.0,92.0
952,The Politics of Skepticism,Erasmus University Rotterdam,98.0,68.0,No,4.6,71.0,55.0,74.0
953,Studying Cities: Social Science Methods for Urban Research,Erasmus University Rotterdam,77.0,69.0,Yes,4.7,56.0,79.0,57.0
954,Cross-border road transport in EU law context,Erasmus University Rotterdam,65.0,68.0,Yes,4.7,70.0,72.0,90.0
955,Business Model Innovation for Sustainable Landscape Restoration,Erasmus University Rotterdam,94.0,67.0,No,4.4,79.0,72.0,89.0
956,Introduction to Economic Theories,Erasmus University Rotterdam,82.0,69.0,No,4.4,58.0,74.0,75.0
957,Innovation Management,Erasmus University Rotterdam,70.0,68.0,Yes,4.7,91.0,78.0,61.0
958,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,56.0,64.0,No,4.8,70.0,62.0,67.0
959,Planning for Climate Change in African Cities,Erasmus University Rotterdam,56.0,68.0,Yes,4.7,57.0,74.0,89.0
960,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,53.0,68.0,Yes,4.6,72.0,76.0,97.0
961,Doing Business in Europe,ESCP Business School,95.0,68.0,Yes,4.3,75.0,77.0,61.0
962,Intercultural Management,ESCP Business School,97.0,69.0,Yes,4.5,75.0,71.0,57.0
963,The fundamentals of hotel distribution,ESSEC Business School,53.0,66.0,No,4.7,90.0,62.0,67.0
964,Hï¿½tel ï¿½De l'ï¿½toileï¿½ - a hotel in crisis?,ESSEC Business School,69.0,70.0,No,4.1,56.0,74.0,92.0
965,Foundations of marketing analytics,ESSEC Business School,59.0,65.0,Yes,4.5,59.0,80.0,67.0
966,The Fundamentals of Revenue Management: The Cornerstone of Revenue Strategy,ESSEC Business School,83.0,69.0,No,4.5,57.0,57.0,61.0
