Course Name,University,Aptitude Score,Family_Income,Parental_Education_Level,Previous Score,Extracurricular activity,Difficulty Level,Course rating,Education_Num,Income_Level_Num,Difficulty_level_Num
Introduction to Git and GitHub,Google,86,Low,High School,69,No,Advanced,4.8,75.0,56.0,90.0
Using Python to Interact with the Operating System,Google,91,High,College,67,No,Advanced,4.6,56.0,81.0,90.0
Troubleshooting and Debugging Techniques,Google,73,Medium,College,65,No,Conversant,4.5,63.0,71.0,85.0
Automating Real-World Tasks with Python,Google,53,Medium,Postgraduate,65,Yes,Advanced,4.7,81.0,75.0,90.0
Crash Course on Python,Google,86,Medium,High School,75,Yes,Conversant,4.7,74.0,72.0,82.0
Technical Support Fundamentals,Google,68,Medium,High School,68,Yes,Conversant,4.8,77.0,72.0,78.0
Configuration Management and the Cloud,Google,100,Low,College,70,Yes,Conversant,4.7,56.0,57.0,82.0
The Bits and Bytes of Computer Networking,Google,84,Medium,High School,66,Yes,Conversant,4.7,80.0,78.0,85.0
IT Security: Defense against the digital dark arts,Google,71,Low,Postgraduate,69,No,Beginner,4.7,87.0,55.0,60.0
Operating Systems and You: Becoming a Power User,Google,59,Medium,High School,65,Yes,Conversant,4.6,71.0,70.0,80.0
System Administration and IT Infrastructure Services,Google,94,Medium,High School,75,Yes,Conversant,4.7,75.0,79.0,85.0
VR and 360 Video Production,Google AR & VR,60,High,College,67,Yes,Beginner,4.7,57.0,92.0,60.0
Introduction to Augmented Reality and ARCore,Google AR & VR,94,Medium,High School,70,No,Beginner,4.5,72.0,78.0,62.0
Recommendation Systems with TensorFlow on GCP,Google Cloud,58,Medium,College,66,Yes,Advanced,4.2,58.0,80.0,94.0
Preparing for the Google Cloud Professional Data Engineer Exam,Google Cloud,100,Low,High School,66,Yes,Beginner,4.5,75.0,56.0,58.0
Hybrid Cloud Service Mesh with Anthos,Google Cloud,90,Medium,College,68,No,Beginner,4.8,57.0,76.0,62.0
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,98,Medium,High School,62,No,Advanced,4.6,80.0,73.0,95.0
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,94,High,College,66,Yes,Advanced,4.6,61.0,93.0,94.0
Securing and Integrating Components of your Application,Google Cloud,69,Medium,High School,65,No,Beginner,4.6,72.0,72.0,60.0
Achieving Advanced Insights with BigQuery,Google Cloud,84,Medium,High School,68,No,Advanced,4.7,73.0,78.0,89.0
API Design and Fundamentals of Google Cloud's Apigee API Platform,Google Cloud,56,High,College,73,Yes,Beginner,4.7,55.0,85.0,61.0
Developing a Google SRE Culture,Google Cloud,70,Medium,Postgraduate,70,Yes,Advanced,4.8,83.0,74.0,90.0
Getting Started With Application Development,Google Cloud,85,High,Postgraduate,66,Yes,Beginner,4.5,91.0,90.0,58.0
Production Machine Learning Systems,Google Cloud,75,Medium,High School,65,Yes,Beginner,4.6,80.0,77.0,62.0
Preparing for the Google Cloud Professional Cloud Architect Exam,Google Cloud,83,Low,College,66,No,Intermediate,4.6,55.0,62.0,73.0
Reinforcement Learning for Trading Strategies,Google Cloud,100,Low,College,68,No,Conversant,3.4,62.0,60.0,84.0
Optimizing Your Google Cloud Platform (GCP) Costs,Google Cloud,64,Low,High School,71,Yes,Advanced,4.5,77.0,55.0,91.0
Introduction to TensorFlow,Google Cloud,79,Medium,Postgraduate,66,No,Advanced,4.3,84.0,78.0,88.0
On Premises Installation and Fundamentals with Google Cloud's Apigee API Platform,Google Cloud,64,Medium,College,64,No,Conversant,4.7,60.0,71.0,83.0
Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,77,Low,High School,70,No,Beginner,4.7,80.0,61.0,57.0
Introduction to Cloud Identity,Google Cloud,53,High,High School,67,No,Beginner,4.5,75.0,81.0,61.0
Business Transformation with Google Cloud,Google Cloud,66,High,High School,69,No,Beginner,4.7,79.0,85.0,58.0
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,69,High,High School,72,Yes,Beginner,4.7,72.0,86.0,60.0
How Google does Machine Learning,Google Cloud,77,Low,High School,67,No,Beginner,4.6,72.0,60.0,57.0
Architecting with Google Kubernetes Engine: Workloads,Google Cloud,58,Medium,High School,60,Yes,Intermediate,4.7,72.0,75.0,67.0
Understanding Your Google Cloud Platform (GCP) Costs,Google Cloud,89,Low,High School,68,No,Advanced,4.6,74.0,63.0,90.0
Sequence Models for Time Series and Natural Language Processing,Google Cloud,56,Medium,High School,62,Yes,Intermediate,4.3,76.0,74.0,67.0
Industrial IoT on Google Cloud Platform,Google Cloud,96,Low,Postgraduate,94,No,Advanced,4.5,93.0,55.0,95.0
Essential Google Cloud Infrastructure: Core Services,Google Cloud,74,Low,Postgraduate,62,No,Conversant,4.7,87.0,59.0,83.0
Building Conversational Experiences with Dialogflow,Google Cloud,94,Medium,High School,63,Yes,Intermediate,4.3,73.0,75.0,68.0
Applying Machine Learning to your Data with GCP,Google Cloud,55,Medium,College,68,No,Advanced,4.7,62.0,78.0,97.0
Image Understanding with TensorFlow on GCP,Google Cloud,61,Low,College,61,Yes,Advanced,4.6,62.0,61.0,94.0
Introduction to G Suite,Google Cloud,86,Medium,High School,68,Yes,Beginner,4.7,74.0,80.0,58.0
Google Cloud Fundamentals for Azure Professionals: Core Infrastructure,Google Cloud,96,Medium,High School,71,Yes,Conversant,4.8,78.0,80.0,79.0
Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,64,Low,College,68,No,Beginner,4.7,56.0,55.0,60.0
Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,84,Low,College,69,No,Advanced,4.7,57.0,56.0,91.0
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,96,Low,High School,69,Yes,Beginner,4.7,77.0,55.0,58.0
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,87,Medium,College,74,Yes,Beginner,4.7,57.0,77.0,59.0
Hybrid Cloud Multi-Cluster with Anthos,Google Cloud,91,Medium,Postgraduate,67,No,Conversant,4.8,93.0,70.0,78.0
On Premises Capacity Upgrade and Monitoring with Google Cloud's Apigee API Platform,Google Cloud,97,Low,High School,66,No,Conversant,4.7,79.0,61.0,84.0
Art and Science of Machine Learning,Google Cloud,75,Low,College,65,No,Advanced,4.6,62.0,58.0,89.0
Essential Google Cloud Infrastructure: Core Services,Google Cloud,57,Medium,College,66,Yes,Conversant,4.7,63.0,75.0,82.0
Essential Google Cloud Infrastructure: Core Services,Google Cloud,50,Low,High School,62,No,Conversant,4.7,71.0,58.0,80.0
"Logging, Monitoring and Observability in Google Cloud",Google Cloud,67,Low,High School,68,Yes,Beginner,4.8,71.0,60.0,61.0
Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,84,Medium,High School,70,Yes,Beginner,4.7,75.0,76.0,60.0
Getting Started with Google Sheets,Google Cloud,66,Medium,College,70,No,Beginner,4.6,59.0,78.0,57.0
Exploring ?and ?Preparing ?your ?Data with BigQuery,Google Cloud,74,High,Postgraduate,68,No,Beginner,4.6,93.0,81.0,57.0
Architecting with Google Kubernetes Engine: Foundations,Google Cloud,67,Low,College,69,No,Beginner,4.7,62.0,60.0,62.0
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,53,Medium,High School,65,No,Beginner,4.7,72.0,77.0,60.0
Managing Security in Google Cloud Platform,Google Cloud,53,Low,High School,69,No,Beginner,4.7,78.0,56.0,61.0
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,89,Medium,High School,63,No,Beginner,3.9,80.0,72.0,57.0
G Suite Security,Google Cloud,54,Low,Postgraduate,67,Yes,Beginner,4.7,84.0,56.0,57.0
Mitigating Security Vulnerabilities on Google Cloud Platform,Google Cloud,92,Medium,High School,68,No,Beginner,4.7,78.0,80.0,58.0
G Suite Mail Management,Google Cloud,97,Low,High School,63,Yes,Beginner,4.8,80.0,62.0,59.0
Networking in Google Cloud: Hybrid Connectivity and Network Management,Google Cloud,81,Medium,Postgraduate,68,Yes,Conversant,4.8,91.0,75.0,85.0
Managing G Suite,Google Cloud,86,Low,College,64,No,Beginner,4.7,59.0,56.0,62.0
Machine Learning for Business Professionals,Google Cloud,54,High,Postgraduate,70,Yes,Advanced,4.6,93.0,89.0,96.0
Migrating to Google Cloud,Google Cloud,94,Medium,Postgraduate,69,Yes,Beginner,4.7,92.0,80.0,62.0
Using Machine Learning in Trading and Finance,Google Cloud,66,Medium,Postgraduate,64,No,Intermediate,3.5,89.0,72.0,73.0
End-to-End Machine Learning with TensorFlow on GCP,Google Cloud,59,Low,High School,59,No,Beginner,4.5,80.0,62.0,59.0
"Introduction to Trading, Machine Learning & GCP",Google Cloud,88,Low,College,61,No,Beginner,3.4,55.0,57.0,62.0
"App Deployment, Debugging, and Performance",Google Cloud,77,Low,High School,72,Yes,Conversant,4.5,79.0,55.0,80.0
Networking in Google Cloud: Defining and Implementing Networks,Google Cloud,100,Low,High School,62,Yes,Beginner,4.8,77.0,59.0,58.0
Creating New BigQuery Datasets and Visualizing Insights,Google Cloud,96,Low,High School,65,Yes,Conversant,4.6,74.0,61.0,79.0
Planning for your G Suite Deployment,Google Cloud,73,Low,High School,67,Yes,Beginner,4.8,70.0,61.0,61.0
Feature Engineering,Google Cloud,58,Low,College,66,Yes,Beginner,4.4,63.0,61.0,61.0
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,92,Medium,High School,69,No,Advanced,4.3,77.0,80.0,92.0
Security Best Practices in Google Cloud,Google Cloud,96,Low,College,75,No,Beginner,4.7,62.0,56.0,58.0
Develop and Deploy Windows Applications on Google Cloud Platform,Google Cloud,99,Low,Postgraduate,73,Yes,Advanced,4.6,90.0,60.0,95.0
Google Cloud Product Fundamentals,Google Cloud,94,Low,High School,64,No,Beginner,4.7,79.0,61.0,61.0
Managing Change when Moving to Google Cloud,Google Cloud,77,Low,Postgraduate,74,Yes,Beginner,4.8,81.0,63.0,57.0
Essential Google Cloud Infrastructure: Foundation,Google Cloud,53,Medium,High School,68,Yes,Conversant,4.7,74.0,80.0,79.0
Essential Google Cloud Infrastructure: Foundation,Google Cloud,93,Low,High School,68,Yes,Conversant,4.7,70.0,63.0,85.0
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,69,Low,Postgraduate,68,No,Conversant,4.6,92.0,60.0,79.0
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,82,Medium,College,68,Yes,Conversant,4.6,57.0,76.0,79.0
Hybrid Cloud Infrastructure Foundations with Anthos,Google Cloud,54,Low,High School,67,Yes,Intermediate,4.7,71.0,61.0,73.0
API Development on Google Cloud's Apigee API Platform,Google Cloud,82,Low,High School,66,Yes,Intermediate,4.6,76.0,57.0,75.0
API Security on Google Cloud's Apigee API Platform,Google Cloud,90,High,College,65,Yes,Intermediate,4.6,62.0,93.0,73.0
"Smart Analytics, Machine Learning, and AI on GCP",Google Cloud,99,Medium,College,66,Yes,Beginner,4.6,63.0,72.0,60.0
Getting Started with Google Kubernetes Engine,Google Cloud,88,Low,Postgraduate,61,Yes,Conversant,4.4,83.0,61.0,78.0
Essential Google Cloud Infrastructure: Foundation,Google Cloud,65,Low,College,67,No,Conversant,4.7,58.0,60.0,78.0
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,85,Medium,High School,66,Yes,Conversant,4.7,79.0,71.0,80.0
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,95,High,College,69,Yes,Conversant,4.7,61.0,82.0,82.0
"Smart Analytics, Machine Learning, and AI on GCP",Google Cloud,79,Medium,College,65,No,Beginner,4.6,59.0,78.0,58.0
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,91,Medium,Postgraduate,67,No,Conversant,4.7,87.0,77.0,84.0
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,68,Medium,High School,70,Yes,Conversant,4.7,73.0,77.0,82.0
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,51,Low,Postgraduate,65,Yes,Conversant,4.7,82.0,60.0,83.0
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,67,High,High School,72,Yes,Conversant,4.7,77.0,81.0,82.0
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,66,High,High School,66,No,Conversant,4.7,79.0,88.0,81.0
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,56,Low,High School,68,No,Conversant,4.7,75.0,59.0,79.0
Architecting with Google Kubernetes Engine: Production,Google Cloud,53,Low,Postgraduate,62,Yes,Intermediate,4.7,82.0,59.0,67.0
Practical Machine Learning on H2O,H2O,85,Low,High School,70,Yes,Advanced,4.1,79.0,55.0,96.0
The Wonders and Challenges of Bible Education,Hebrew University of Jerusalem,85,Medium,High School,73,No,Advanced,4,71.0,74.0,88.0
Israel State and Society,Hebrew University of Jerusalem,73,High,Postgraduate,73,Yes,Intermediate,4.7,87.0,88.0,72.0
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,88,Medium,Postgraduate,71,Yes,Beginner,4.9,85.0,80.0,61.0
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Hebrew University of Jerusalem,96,Medium,High School,72,Yes,Advanced,4.9,78.0,77.0,91.0
"Synapses, Neurons and Brains",Hebrew University of Jerusalem,89,High,High School,70,Yes,Beginner,4.8,76.0,83.0,60.0
"Anticipating Your Next Battle, in Business and Beyond",HEC Paris,83,Low,College,65,Yes,Advanced,4.5,55.0,63.0,96.0
Business Model Innovation,HEC Paris,66,Low,High School,73,Yes,Advanced,4.7,75.0,56.0,92.0
Building Your Leadership Skills,HEC Paris,64,Low,High School,64,No,Conversant,4.5,79.0,59.0,85.0
"Time to Reorganize! Understand Organizations, Act, and Build a Meaningful World.",HEC Paris,64,Medium,High School,68,Yes,Advanced,4.2,75.0,77.0,88.0
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,84,Medium,Postgraduate,60,Yes,Intermediate,4.5,91.0,78.0,75.0
Leading Organizations,HEC Paris,91,Low,High School,67,No,Advanced,4.6,70.0,63.0,94.0
Understanding Europe: Why It Matters and What It Can Offer You,HEC Paris,53,Medium,High School,67,Yes,Beginner,4.4,72.0,74.0,57.0
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,88,Low,College,70,No,Advanced,4.8,62.0,60.0,91.0
Giving Sense to Your Leadership Experience,HEC Paris,60,Low,College,66,Yes,Intermediate,4.5,55.0,61.0,69.0
CAPSTONE: Your Leadership Challenge,HEC Paris,81,Medium,High School,67,Yes,Advanced,4.6,74.0,70.0,89.0
Learning Mindsets & Skills,High Tech High Graduate School of Education,88,Low,Postgraduate,71,No,Advanced,3.9,82.0,59.0,93.0
How to Make a Comic Book (Project-Centered Course),High Tech High Graduate School of Education,60,Low,High School,62,No,Not Calibrated,4.6,76.0,55.0,50.0
How To Teach Us,High Tech High Graduate School of Education,90,Low,High School,64,No,Advanced,4.3,72.0,55.0,97.0
Sales Training: Techniques for a Human-Centric Sales Process,HubSpot Academy,56,Medium,Postgraduate,69,Yes,Advanced,4.6,86.0,77.0,94.0
Sales Training: Building Your Sales Career,HubSpot Academy,51,Low,High School,66,No,Advanced,4.7,77.0,61.0,95.0
Sales Training: Inbound Business Strategy,HubSpot Academy,90,Medium,High School,69,Yes,Advanced,4.8,77.0,79.0,89.0
Sales Training: Sales Team Management,HubSpot Academy,96,Low,High School,64,Yes,Advanced,4.7,79.0,59.0,93.0
COBOL Programming with VSCode,IBM,91,Medium,High School,64,Yes,Beginner,4.7,74.0,76.0,57.0
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,82,Medium,College,70,Yes,Beginner,4.3,58.0,70.0,61.0
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,82,Medium,Postgraduate,68,Yes,Beginner,4.3,87.0,77.0,62.0
"Penetration Testing, Incident Response and Forensics",IBM,72,Medium,High School,69,No,Beginner,4.6,75.0,73.0,57.0
"Penetration Testing, Incident Response and Forensics",IBM,75,Medium,High School,61,No,Beginner,4.6,70.0,76.0,60.0
IBM Data Topology,IBM,52,High,College,69,No,Advanced,4.9,60.0,89.0,90.0
Network Security & Database Vulnerabilities,IBM,53,Medium,High School,63,Yes,Beginner,4.6,71.0,74.0,60.0
"Introduction to Containers w/ Docker, Kubernetes & OpenShift",IBM,85,High,High School,71,No,Advanced,Not Calibrated,74.0,89.0,90.0
Introduction to Computer Vision with Watson and OpenCV,IBM,62,Low,College,65,No,Beginner,4.2,60.0,63.0,57.0
Network Security & Database Vulnerabilities,IBM,79,High,High School,65,No,Beginner,4.6,74.0,91.0,58.0
"AI Workflow: Machine Learning, Visual Recognition and NLP",IBM,55,Medium,College,71,No,Intermediate,4.6,55.0,79.0,68.0
Building Deep Learning Models with TensorFlow,IBM,83,Medium,Postgraduate,71,No,Beginner,4.1,90.0,79.0,61.0
Databases and SQL for Data Science,IBM,75,Low,High School,66,No,Conversant,4.6,73.0,59.0,79.0
"Cybersecurity Roles, Processes & Operating System Security",IBM,90,Low,Postgraduate,73,Yes,Beginner,4.5,89.0,60.0,57.0
"Cybersecurity Roles, Processes & Operating System Security",IBM,98,High,High School,63,Yes,Beginner,4.5,76.0,82.0,61.0
Building AI Powered Chatbots Without Programming,IBM,77,Low,High School,60,Yes,Beginner,4.7,76.0,62.0,61.0
Building AI Powered Chatbots Without Programming,IBM,82,Medium,High School,71,Yes,Beginner,4.7,70.0,74.0,58.0
Excel Basics for Data Analysis,IBM,64,Medium,Postgraduate,69,No,Advanced,4.7,87.0,71.0,95.0
Introduction to Data Analytics,IBM,70,High,High School,65,No,Advanced,4.7,80.0,91.0,97.0
Deep Neural Networks with PyTorch,IBM,53,Low,College,63,No,Beginner,4.3,59.0,63.0,61.0
Introduction to Cloud Computing,IBM,64,High,Postgraduate,65,Yes,Beginner,4.8,92.0,87.0,60.0
Introduction to Enterprise Computing,IBM,50,High,High School,62,Yes,Intermediate,4.7,76.0,90.0,72.0
Data Visualization with Python,IBM,66,Low,High School,64,Yes,Beginner,4.4,77.0,62.0,57.0
Advanced Machine Learning and Signal Processing,IBM,94,Medium,High School,68,Yes,Advanced,4.4,80.0,70.0,92.0
Machine Learning with Python,IBM,54,High,Postgraduate,68,No,Beginner,4.6,85.0,92.0,62.0
Machine Learning with Python,IBM,66,Low,Postgraduate,62,Yes,Beginner,4.6,90.0,60.0,62.0
IBM Cybersecurity Analyst Assessment,IBM,66,High,High School,64,Yes,Advanced,4.3,79.0,84.0,97.0
Databases and SQL for Data Science,IBM,76,Medium,College,70,Yes,Conversant,4.6,62.0,74.0,84.0
Databases and SQL for Data Science,IBM,59,Low,High School,69,Yes,Conversant,4.6,74.0,63.0,81.0
Data Science Methodology,IBM,51,Low,High School,65,Yes,Beginner,4.5,75.0,59.0,58.0
Data Science Methodology,IBM,74,Medium,High School,67,Yes,Beginner,4.5,72.0,79.0,59.0
Cyber Threat Intelligence,IBM,93,High,High School,101,Yes,Advanced,4.8,76.0,84.0,90.0
Cyber Threat Intelligence,IBM,71,Low,High School,65,Yes,Advanced,4.8,70.0,55.0,89.0
The AI Ladder: A Framework for Deploying AI in your Enterprise,IBM,54,Low,High School,62,No,Beginner,4.7,80.0,60.0,60.0
Data Visualization with Python,IBM,56,Medium,College,65,No,Beginner,4.4,60.0,74.0,59.0
Data Visualization with Python,IBM,52,Low,High School,66,Yes,Beginner,4.4,70.0,57.0,61.0
AI Workflow: Feature Engineering and Bias Detection,IBM,78,High,High School,72,Yes,Intermediate,4.5,75.0,88.0,67.0
Exploratory Data Analysis for Machine Learning,IBM,69,Medium,Postgraduate,69,Yes,Intermediate,4.8,85.0,75.0,69.0
Exploratory Data Analysis for Machine Learning,IBM,58,High,College,63,Yes,Intermediate,4.8,59.0,88.0,70.0
AI Capstone Project with Deep Learning,IBM,85,Low,College,69,Yes,Beginner,4.2,62.0,55.0,60.0
Python for Data Science and AI,IBM,81,Low,High School,66,Yes,Conversant,4.5,70.0,60.0,83.0
Data Analysis with Python,IBM,81,High,High School,65,No,Conversant,4.6,70.0,86.0,84.0
Getting Started with AI using IBM Watson,IBM,74,Medium,College,68,Yes,Conversant,4.4,59.0,70.0,81.0
Getting Started with AI using IBM Watson,IBM,52,High,High School,70,Yes,Conversant,4.4,74.0,84.0,80.0
IBM Data Privacy for Information Architecture,IBM,62,Low,High School,59,No,Beginner,4.6,77.0,62.0,60.0
AI Workflow: Enterprise Model Deployment,IBM,94,Low,College,64,No,Advanced,4.2,56.0,56.0,92.0
Building AI Applications with Watson APIs,IBM,81,Medium,High School,62,Yes,Beginner,3.8,72.0,72.0,60.0
Introduction to Enterprise Resiliency,IBM,71,High,High School,65,Yes,Advanced,4,71.0,84.0,92.0
AI Workflow: Business Priorities and Data Ingestion,IBM,73,Medium,Postgraduate,75,No,Advanced,4.1,81.0,72.0,92.0
Basic System Programming on IBM Z,IBM,68,Medium,Postgraduate,64,Yes,Advanced,4.8,84.0,78.0,91.0
Data Visualization and Dashboards with Excel and Cognos,IBM,100,Medium,High School,66,Yes,Beginner,Not Calibrated,80.0,77.0,61.0
Supervised Learning: Regression,IBM,91,Medium,High School,66,No,Advanced,5,74.0,72.0,94.0
Supervised Learning: Regression,IBM,52,Medium,High School,66,Yes,Advanced,5,72.0,72.0,93.0
Data Analysis with Python,IBM,70,Low,High School,66,Yes,Conversant,4.6,71.0,63.0,81.0
Data Analysis with Python,IBM,71,Medium,College,69,Yes,Conversant,4.6,63.0,76.0,85.0
IBM IT Assessment: Identifying the Right Career for You!,IBM,53,Medium,College,70,Yes,Beginner,3,61.0,74.0,60.0
Python for Data Science and AI,IBM,76,Low,High School,68,No,Conversant,4.5,80.0,63.0,85.0
Python for Data Science and AI,IBM,74,Low,Postgraduate,65,Yes,Conversant,4.5,89.0,61.0,83.0
Introduction to Artificial Intelligence (AI),IBM,60,Low,High School,64,Yes,Conversant,4.7,76.0,55.0,78.0
Getting Started on Mainframe with z/OS Commands and Panels,IBM,66,Medium,Postgraduate,68,No,Advanced,4.7,90.0,72.0,89.0
Cybersecurity Capstone: Breach Response Case Studies,IBM,89,Low,Postgraduate,71,Yes,Beginner,4.7,86.0,63.0,57.0
Cybersecurity Capstone: Breach Response Case Studies,IBM,54,Medium,High School,87,Yes,Beginner,4.7,75.0,78.0,57.0
AI Workflow: Data Analysis and Hypothesis Testing,IBM,80,Low,Postgraduate,69,No,Advanced,4.2,90.0,55.0,91.0
Machine Learning Rapid Prototyping with IBM Watson Studio,IBM,51,Medium,High School,72,Yes,Advanced,5,73.0,72.0,89.0
Tools for Data Science,IBM,96,Medium,High School,68,No,Beginner,4.4,75.0,70.0,57.0
Introduction to Deep Learning & Neural Networks with Keras,IBM,88,Medium,High School,72,Yes,Beginner,4.7,75.0,79.0,62.0
What is Data Science?,IBM,80,Medium,High School,66,Yes,Conversant,4.6,75.0,70.0,79.0
What is Data Science?,IBM,62,High,Postgraduate,69,No,Conversant,4.6,83.0,85.0,79.0
What is Data Science?,IBM,78,Medium,High School,71,Yes,Conversant,4.6,77.0,72.0,80.0
Fundamentals of Scalable Data Science,IBM,57,Medium,High School,61,No,Advanced,4.1,74.0,75.0,88.0
Introduction to Artificial Intelligence (AI),IBM,61,Medium,College,64,Yes,Conversant,4.7,61.0,77.0,78.0
Introduction to Artificial Intelligence (AI),IBM,74,Medium,College,67,Yes,Conversant,4.7,63.0,70.0,79.0
Introduction to Artificial Intelligence (AI),IBM,84,Low,Postgraduate,60,No,Conversant,4.7,91.0,58.0,79.0
Python for Data Science and AI,IBM,85,Low,College,65,Yes,Conversant,4.5,60.0,62.0,79.0
Cybersecurity Compliance Framework & System Administration,IBM,54,Medium,High School,66,No,Beginner,4.6,71.0,75.0,62.0
Cybersecurity Compliance Framework & System Administration,IBM,99,High,High School,69,No,Beginner,4.6,70.0,86.0,60.0
IBM Customer Engagement Specialist Professional Certificate,IBM,67,Medium,High School,70,Yes,Advanced,4.8,70.0,79.0,94.0
Tools for Data Science,IBM,60,High,High School,68,No,Beginner,4.4,79.0,90.0,57.0
AI Workflow: AI in Production,IBM,59,Low,High School,63,No,Advanced,4.2,70.0,60.0,96.0
What is Data Science?,IBM,64,Low,College,72,Yes,Conversant,4.6,58.0,62.0,82.0
Applied AI with DeepLearning,IBM,87,Medium,Postgraduate,67,No,Advanced,4.2,85.0,78.0,88.0
Applied Data Science Capstone,IBM,75,Medium,High School,65,Yes,Beginner,4.6,77.0,71.0,58.0
Applied Data Science Capstone,IBM,55,Low,College,63,Yes,Beginner,4.6,62.0,55.0,57.0
Scalable Machine Learning on Big Data using Apache Spark,IBM,75,Medium,High School,68,No,Beginner,3.4,80.0,70.0,61.0
Transgender Medicine for General Medical Providers,Icahn School of Medicine at Mount Sinai,82,Low,High School,65,Yes,Intermediate,4.8,73.0,56.0,73.0
Voice Disorders: What Patients and Professionals Need to Know,Icahn School of Medicine at Mount Sinai,66,High,Postgraduate,65,Yes,Intermediate,4.9,81.0,82.0,70.0
Acute and Chronic Rhinosinusitis: A Comprehensive Review,Icahn School of Medicine at Mount Sinai,67,Medium,High School,63,No,Beginner,4.7,74.0,72.0,62.0
HPV-Associated Oral and Throat Cancer: What You Need to Know,Icahn School of Medicine at Mount Sinai,80,Low,High School,65,No,Beginner,4.8,76.0,61.0,59.0
Introduction to Systems Biology,Icahn School of Medicine at Mount Sinai,58,Low,Postgraduate,66,Yes,Advanced,4.2,86.0,61.0,94.0
Integrated Analysis in Systems Biology,Icahn School of Medicine at Mount Sinai,55,Medium,High School,70,No,Advanced,4.6,78.0,77.0,94.0
Dynamical Modeling Methods for Systems Biology,Icahn School of Medicine at Mount Sinai,91,Medium,Postgraduate,69,Yes,Advanced,4.8,93.0,74.0,97.0
Introduction to Hearing Loss,Icahn School of Medicine at Mount Sinai,54,Low,Postgraduate,63,Yes,Beginner,4.8,84.0,56.0,59.0
Network Analysis in Systems Biology,Icahn School of Medicine at Mount Sinai,57,Medium,High School,68,Yes,Advanced,4.5,79.0,80.0,93.0
Experimental Methods in Systems Biology,Icahn School of Medicine at Mount Sinai,85,Low,Postgraduate,68,Yes,Intermediate,4.5,86.0,57.0,71.0
Systems Biology and Biotechnology Capstone,Icahn School of Medicine at Mount Sinai,60,Medium,College,69,No,Advanced,4.2,56.0,71.0,93.0
Big Data Science with the BD2K-LINCS Data Coordination and Integration Center,Icahn School of Medicine at Mount Sinai,85,Low,High School,68,No,Advanced,4.6,78.0,57.0,97.0
Health Care IT: Challenges and Opportunities,Icahn School of Medicine at Mount Sinai,84,High,College,74,Yes,Beginner,4.7,55.0,84.0,62.0
Making Architecture,IE Business School,94,Medium,College,68,No,Intermediate,4.8,59.0,74.0,71.0
Channel Management and Retailing,IE Business School,79,Low,College,71,Yes,Beginner,4.4,56.0,57.0,60.0
Critical Perspectives on Management,IE Business School,60,Low,Postgraduate,65,No,Intermediate,4.7,92.0,63.0,73.0
Legal Tech & Startups,IE Business School,70,High,College,68,Yes,Beginner,4.5,56.0,81.0,62.0
Brand Identity and Strategy,IE Business School,62,High,High School,61,Yes,Beginner,4.6,74.0,89.0,58.0
Marketing Mix Fundamentals,IE Business School,98,Low,Postgraduate,64,No,Intermediate,4.6,82.0,59.0,70.0
Understanding economic policymaking,IE Business School,82,Low,High School,65,No,Advanced,4.8,79.0,62.0,88.0
"Trade, Immigration and Exchange Rates in a Globalized World",IE Business School,84,Medium,Postgraduate,72,Yes,Intermediate,4.8,91.0,79.0,75.0
Intelligence Tools for the Digital Age,IE Business School,57,Medium,High School,65,No,Beginner,4.7,75.0,76.0,60.0
Brand & Content Marketing,IE Business School,66,Medium,College,67,Yes,Intermediate,4,56.0,80.0,73.0
Pricing Strategy,IE Business School,90,Medium,Postgraduate,74,Yes,Beginner,4.6,86.0,75.0,57.0
